Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,08/12/01,Leicester,Southampton,0,4,A,0,1,A,8,10,4,5,13,15,5,4,1,0,0,0,G. Poll
2001/02,08/12/01,Liverpool,Middlesbrough,2,0,H,2,0,H,8,4,5,2,7,10,4,6,0,2,0,0,D. J. Gallagher
2001/02,08/12/01,Man United,West Ham,0,1,A,0,0,D,17,8,6,4,18,8,12,4,5,3,0,0,P. A. Durkin
2001/02,09/12/01,Arsenal,Aston Villa,3,2,H,0,2,A,15,8,8,5,18,14,9,3,4,0,0,0,A. G. Wiley
2001/02,09/12/01,Blackburn,Leeds,1,2,A,0,0,D,14,10,6,7,15,18,8,7,1,5,0,0,A. P. D'Urso
2001/02,09/12/01,Ipswich,Newcastle,0,1,A,0,1,A,9,7,5,5,3,3,8,2,3,1,0,0,R. Styles
2001/02,09/12/01,Sunderland,Chelsea,0,0,D,0,0,D,11,10,6,3,11,15,6,6,1,3,0,0,N. S. Barry
2001/02,12/12/01,Liverpool,Fulham,0,0,D,0,0,D,16,8,7,4,17,11,7,3,0,0,0,0,J. T. Winter
2001/02,12/12/01,Man United,Derby,5,0,H,2,0,H,20,8,11,5,8,13,5,6,1,2,0,0,M. R. Halsey
2001/02,15/12/01,Bolton,Charlton,0,0,D,0,0,D,13,6,6,4,13,13,7,4,1,2,0,0,C. J. Foy
2001/02,15/12/01,Everton,Derby,1,0,H,0,0,D,22,3,12,2,9,15,9,3,1,1,0,0,C. R. Wilkes
2001/02,15/12/01,Middlesbrough,Man United,0,1,A,0,0,D,6,14,3,5,11,14,5,8,2,3,0,0,D. R. Elleray
2001/02,15/12/01,Newcastle,Blackburn,2,1,H,0,1,A,15,8,6,6,8,15,10,6,0,3,0,0,S. W. Dunn
2001/02,15/12/01,Southampton,Sunderland,2,0,H,1,0,H,14,5,5,3,11,13,3,1,1,2,0,0,D. Pugh
2001/02,15/12/01,Tottenham,Fulham,4,0,H,2,0,H,10,12,6,1,18,15,3,6,3,2,0,0,N. S. Barry
2001/02,15/12/01,West Ham,Arsenal,1,1,D,1,1,D,8,16,4,6,10,14,7,6,4,3,0,0,M. A. Riley
2001/02,16/12/01,Chelsea,Liverpool,4,0,H,2,0,H,16,16,10,8,15,10,5,6,2,3,0,0,M. R. Halsey
2001/02,16/12/01,Leeds,Leicester,2,2,D,1,0,H,14,5,7,4,6,15,8,3,1,3,0,0,R. Styles
2001/02,17/12/01,Aston Villa,Ipswich,2,1,H,1,1,D,10,14,5,3,16,10,1,4,0,1,0,0,M. L Dean
2001/02,18/12/01,Arsenal,Newcastle,1,3,A,1,0,H,19,4,8,3,10,19,4,4,3,3,1,1,G. Poll
2001/02,19/12/01,Leeds,Everton,3,2,H,2,0,H,18,8,7,3,12,13,5,2,1,1,0,0,P. Jones 
2001/02,22/12/01,Charlton,Blackburn,0,2,A,0,0,D,10,7,2,4,16,19,4,3,2,3,0,0,"Wiley, A. G."
2001/02,22/12/01,Derby,Aston Villa,3,1,H,1,1,D,10,10,7,3,11,15,4,5,0,1,0,0,"Elleray, D. R."
2001/02,22/12/01,Leeds,Newcastle,3,4,A,1,1,D,15,13,6,7,19,17,2,9,2,1,0,0,"Winter, J. T."
2001/02,22/12/01,Leicester,West Ham,1,1,D,1,0,H,10,7,4,3,8,15,6,7,2,2,1,0,"Wolstenholme, E. K."
2001/02,22/12/01,Man United,Southampton,6,1,H,3,0,H,12,6,7,3,13,10,8,6,1,1,0,0,"Dunn, S. W."
2001/02,22/12/01,Sunderland,Everton,1,0,H,0,0,D,10,8,5,5,18,15,6,5,1,4,0,0,"Knight, B."
2001/02,22/12/01,Tottenham,Ipswich,1,2,A,1,1,D,12,12,6,4,22,16,9,5,1,2,1,0,"Riley, M. A."
